currency;code;bid;ask
dolar amerykański;USD;3.5864;3.6588
dolar australijski;AUD;2.7362;2.7914
dolar kanadyjski;CAD;2.8248;2.8818
euro;EUR;4.3935;4.4823
forint (Węgry);HUF;0.012368;0.012618
frank szwajcarski;CHF;4.0574;4.1394
funt szterling;GBP;4.8784;4.977
jen (Japonia);JPY;0.034851;0.035555
korona czeska;CZK;0.1679;0.1713
korona duńska;DKK;0.5905;0.6025
korona norweska;NOK;0.4185;0.4269
korona szwedzka;SEK;0.4347;0.4435
SDR (MFW);XDR;5.1974;5.3024
